,,,Common Name,Molecular Formula,Molecular Weight (average),Monoisotopic Mass,CAS # (without dashes),Classification 1,Classification 2,"M7412AA = CF, 40-min Method RT","RI (M7412AA = CF, 40-min)","M7411AA = CP, 40-min Method RT","RI (M7411AA = CF, 40-min)","M7412AA = CF, 20-min Method RT","RI (M7412AA = CF, 20-min)","M7414AA = CF, 5x15 Method RT",User Field,Formal CAS #,Common Name,Method RT,ISTD,Precursor Ion,MS1 Resolution,Product Ion,MS2 Resolution,Dwell Time (ms),CE (V),Left RT Delta,Right RT Delta,RT Window,Response Scaled within the Database,Relative Intensity of Transitions,Quant (Q0) and Qual,Target Compounds,Chinese Name,China GB Method Group,Japanese Name,,Synonym(s),,,,,
0-709,0,709,Fluvalinate-tau I,C26H22ClF3N2O3,502.9,502.1271,102851069,Insecticide,Pyrethroid,35.514,2994,34.862,2996,17.562,3009,16.922,,102851-06-9,Fluvalinate-tau I,17.562,false,250.0,Wide,55.0,Wide,10,40,0.1,0.1,0.1,90,100%,Q0,#N/A,氟胺氰菊酯,,,,,,,,,
1-709,1,709,Fluvalinate-tau I,C26H22ClF3N2O3,502.9,502.1271,102851069,Insecticide,Pyrethroid,35.514,2994,34.862,2996,17.562,3009,16.922,,102851-06-9,Fluvalinate-tau I,17.562,false,181.0,Wide,152.0,Wide,10,40,0.1,0.1,0.1,70,78%,Q1,#N/A,氟胺氰菊酯,,,,,,,,,
2-709,2,709,Fluvalinate-tau I,C26H22ClF3N2O3,502.9,502.1271,102851069,Insecticide,Pyrethroid,35.514,2994,34.862,2996,17.562,3009,16.922,,102851-06-9,Fluvalinate-tau I,17.562,false,250.0,Wide,200.0,Wide,10,40,0.1,0.1,0.1,30,33%,Q2,#N/A,氟胺氰菊酯,,,,,,,,,
3-709,3,709,Fluvalinate-tau I,C26H22ClF3N2O3,502.9,502.1271,102851069,Insecticide,Pyrethroid,35.514,2994,34.862,2996,17.562,3009,16.922,,102851-06-9,Fluvalinate-tau I,17.562,false,252.1,Wide,55.0,Wide,10,40,0.1,0.1,0.1,30,33%,Q3,#N/A,氟胺氰菊酯,,,,,,,,,
4-709,4,709,Fluvalinate-tau I,C26H22ClF3N2O3,502.9,502.1271,102851069,Insecticide,Pyrethroid,35.514,2994,34.862,2996,17.562,3009,16.922,,102851-06-9,Fluvalinate-tau I,17.562,false,181.0,Wide,127.0,Wide,10,40,0.1,0.1,0.1,20,22%,Q4,#N/A,氟胺氰菊酯,,,,,,,,,
5-709,5,709,Fluvalinate-tau I,C26H22ClF3N2O3,502.9,502.1271,102851069,Insecticide,Pyrethroid,35.514,2994,34.862,2996,17.562,3009,16.922,,102851-06-9,Fluvalinate-tau I,17.562,false,250.0,Wide,208.0,Wide,10,40,0.1,0.1,0.1,20,22%,Q5,#N/A,氟胺氰菊酯,,,,,,,,,
6-709,6,709,Fluvalinate-tau I,C26H22ClF3N2O3,502.9,502.1271,102851069,Insecticide,Pyrethroid,35.514,2994,34.862,2996,17.562,3009,16.922,,102851-06-9,Fluvalinate-tau I,17.562,false,252.1,Wide,200.0,Wide,10,40,0.1,0.1,0.1,10,11%,Q6,#N/A,氟胺氰菊酯,,,,,,,,,
7-709,7,709,Fluvalinate-tau I,C26H22ClF3N2O3,502.9,502.1271,102851069,Insecticide,Pyrethroid,35.514,2994,34.862,2996,17.562,3009,16.922,,102851-06-9,Fluvalinate-tau I,17.562,false,208.0,Wide,180.9,Wide,10,40,0.1,0.1,0.1,10,11%,Q7,#N/A,氟胺氰菊酯,,,,,,,,,
8-709,8,709,Fluvalinate-tau I,C26H22ClF3N2O3,502.9,502.1271,102851069,Insecticide,Pyrethroid,35.514,2994,34.862,2996,17.562,3009,16.922,,102851-06-9,Fluvalinate-tau I,17.562,false,252.1,Wide,209.9,Wide,10,40,0.1,0.1,0.1,10,11%,Q8,#N/A,氟胺氰菊酯,,,,,,,,,
0-710,0,710,Fluvalinate-tau II {CAS # 102851-06-9},C26H22ClF3N2O3,502.9,502.1271,999044030,Insecticide,Pyrethroid,35.644,3004,35.000,3005,17.608,3016,16.969,,999044-03-0,Fluvalinate-tau II {CAS # 102851-06-9},17.608,false,250.0,Wide,55.0,Wide,10,40,0.1,0.1,0.1,90,100%,Q0,#N/A,氟胺氰菊酯,,,,,,,,,
1-710,1,710,Fluvalinate-tau II {CAS # 102851-06-9},C26H22ClF3N2O3,502.9,502.1271,999044030,Insecticide,Pyrethroid,35.644,3004,35.000,3005,17.608,3016,16.969,,999044-03-0,Fluvalinate-tau II {CAS # 102851-06-9},17.608,false,181.0,Wide,152.0,Wide,10,40,0.1,0.1,0.1,70,78%,Q1,#N/A,氟胺氰菊酯,,,,,,,,,
2-710,2,710,Fluvalinate-tau II {CAS # 102851-06-9},C26H22ClF3N2O3,502.9,502.1271,999044030,Insecticide,Pyrethroid,35.644,3004,35.000,3005,17.608,3016,16.969,,999044-03-0,Fluvalinate-tau II {CAS # 102851-06-9},17.608,false,250.0,Wide,200.0,Wide,10,40,0.1,0.1,0.1,30,33%,Q2,#N/A,氟胺氰菊酯,,,,,,,,,
3-710,3,710,Fluvalinate-tau II {CAS # 102851-06-9},C26H22ClF3N2O3,502.9,502.1271,999044030,Insecticide,Pyrethroid,35.644,3004,35.000,3005,17.608,3016,16.969,,999044-03-0,Fluvalinate-tau II {CAS # 102851-06-9},17.608,false,252.1,Wide,55.0,Wide,10,40,0.1,0.1,0.1,30,33%,Q3,#N/A,氟胺氰菊酯,,,,,,,,,
4-710,4,710,Fluvalinate-tau II {CAS # 102851-06-9},C26H22ClF3N2O3,502.9,502.1271,999044030,Insecticide,Pyrethroid,35.644,3004,35.000,3005,17.608,3016,16.969,,999044-03-0,Fluvalinate-tau II {CAS # 102851-06-9},17.608,false,181.0,Wide,127.0,Wide,10,40,0.1,0.1,0.1,20,22%,Q4,#N/A,氟胺氰菊酯,,,,,,,,,
5-710,5,710,Fluvalinate-tau II {CAS # 102851-06-9},C26H22ClF3N2O3,502.9,502.1271,999044030,Insecticide,Pyrethroid,35.644,3004,35.000,3005,17.608,3016,16.969,,999044-03-0,Fluvalinate-tau II {CAS # 102851-06-9},17.608,false,250.0,Wide,208.0,Wide,10,40,0.1,0.1,0.1,20,22%,Q5,#N/A,氟胺氰菊酯,,,,,,,,,
6-710,6,710,Fluvalinate-tau II {CAS # 102851-06-9},C26H22ClF3N2O3,502.9,502.1271,999044030,Insecticide,Pyrethroid,35.644,3004,35.000,3005,17.608,3016,16.969,,999044-03-0,Fluvalinate-tau II {CAS # 102851-06-9},17.608,false,252.1,Wide,200.0,Wide,10,40,0.1,0.1,0.1,10,11%,Q6,#N/A,氟胺氰菊酯,,,,,,,,,
7-710,7,710,Fluvalinate-tau II {CAS # 102851-06-9},C26H22ClF3N2O3,502.9,502.1271,999044030,Insecticide,Pyrethroid,35.644,3004,35.000,3005,17.608,3016,16.969,,999044-03-0,Fluvalinate-tau II {CAS # 102851-06-9},17.608,false,208.0,Wide,180.9,Wide,10,40,0.1,0.1,0.1,10,11%,Q7,#N/A,氟胺氰菊酯,,,,,,,,,
8-710,8,710,Fluvalinate-tau II {CAS # 102851-06-9},C26H22ClF3N2O3,502.9,502.1271,999044030,Insecticide,Pyrethroid,35.644,3004,35.000,3005,17.608,3016,16.969,,999044-03-0,Fluvalinate-tau II {CAS # 102851-06-9},17.608,false,252.1,Wide,209.9,Wide,10,40,0.1,0.1,0.1,10,11%,Q8,#N/A,氟胺氰菊酯,,,,,,,,,
0-711,0,711,Fluxapyroxad,C18H12F5N3O,381.3,381.0901,907204313,Fungicide,Anilide; Pyrazole,29.421,,29.846,,14.570,,14.522,,907204-31-3,Fluxapyroxad,14.570,false,222.0,Wide,152.9,Wide,10,15,0.1,0.1,0.1,4119,100%,Q0,Target,,,,,,,,,,
1-711,1,711,Fluxapyroxad,C18H12F5N3O,381.3,381.0901,907204313,Fungicide,Anilide; Pyrazole,29.421,,29.846,,14.570,,14.522,,907204-31-3,Fluxapyroxad,14.570,false,153.0,Wide,125.9,Wide,10,25,0.1,0.1,0.1,2572,62%,Q1,Target,,,,,,,,,,
2-711,2,711,Fluxapyroxad,C18H12F5N3O,381.3,381.0901,907204313,Fungicide,Anilide; Pyrazole,29.421,,29.846,,14.570,,14.522,,907204-31-3,Fluxapyroxad,14.570,false,321.1,Wide,152.9,Wide,10,35,0.1,0.1,0.1,2469,60%,Q2,Target,,,,,,,,,,
3-711,3,711,Fluxapyroxad,C18H12F5N3O,381.3,381.0901,907204313,Fungicide,Anilide; Pyrazole,29.421,,29.846,,14.570,,14.522,,907204-31-3,Fluxapyroxad,14.570,false,180.0,Wide,83.0,Wide,10,35,0.1,0.1,0.1,2353,57%,Q3,Target,,,,,,,,,,
4-711,4,711,Fluxapyroxad,C18H12F5N3O,381.3,381.0901,907204313,Fungicide,Anilide; Pyrazole,29.421,,29.846,,14.570,,14.522,,907204-31-3,Fluxapyroxad,14.570,false,222.0,Wide,125.9,Wide,10,40,0.1,0.1,0.1,2288,56%,Q4,Target,,,,,,,,,,
5-711,5,711,Fluxapyroxad,C18H12F5N3O,381.3,381.0901,907204313,Fungicide,Anilide; Pyrazole,29.421,,29.846,,14.570,,14.522,,907204-31-3,Fluxapyroxad,14.570,false,321.1,Wide,222.0,Wide,10,15,0.1,0.1,0.1,2108,51%,Q5,Target,,,,,,,,,,
6-711,6,711,Fluxapyroxad,C18H12F5N3O,381.3,381.0901,907204313,Fungicide,Anilide; Pyrazole,29.421,,29.846,,14.570,,14.522,,907204-31-3,Fluxapyroxad,14.570,false,180.0,Wide,127.0,Wide,10,20,0.1,0.1,0.1,1705,41%,Q6,Target,,,,,,,,,,
7-711,7,711,Fluxapyroxad,C18H12F5N3O,381.3,381.0901,907204313,Fungicide,Anilide; Pyrazole,29.421,,29.846,,14.570,,14.522,,907204-31-3,Fluxapyroxad,14.570,false,127.0,Wide,83.0,Wide,10,15,0.1,0.1,0.1,1635,40%,Q7,Target,,,,,,,,,,
8-711,8,711,Fluxapyroxad,C18H12F5N3O,381.3,381.0901,907204313,Fungicide,Anilide; Pyrazole,29.421,,29.846,,14.570,,14.522,,907204-31-3,Fluxapyroxad,14.570,false,72.0,Wide,42.1,Wide,10,30,0.1,0.1,0.1,325,8%,Q8,Target,,,,,,,,,,
9-711,9,711,Fluxapyroxad,C18H12F5N3O,381.3,381.0901,907204313,Fungicide,Anilide; Pyrazole,29.421,,29.846,,14.570,,14.522,,907204-31-3,Fluxapyroxad,14.570,false,108.0,Wide,57.0,Wide,10,20,0.1,0.1,0.1,128,3%,Q9,Target,,,,,,,,,,
0-712,0,712,Folpet,C9H4Cl3NO2S,295.0,294.9028,133073,Fungicide,Thiophthalimide,21.669,2090,21.598,2077,10.841,2119,10.475,,133-07-3,Folpet,10.841,false,259.8,Wide,130.1,Wide,10,15,0.1,0.1,0.1,940,100%,Q0,Target,灭菌丹,A,ホルペット,,,,,,,
1-712,1,712,Folpet,C9H4Cl3NO2S,295.0,294.9028,133073,Fungicide,Thiophthalimide,21.669,2090,21.598,2077,10.841,2119,10.475,,133-07-3,Folpet,10.841,false,261.8,Wide,130.1,Wide,10,15,0.1,0.1,0.1,550,59%,Q1,Target,灭菌丹,A,ホルペット,,,,,,,
2-712,2,712,Folpet,C9H4Cl3NO2S,295.0,294.9028,133073,Fungicide,Thiophthalimide,21.669,2090,21.598,2077,10.841,2119,10.475,,133-07-3,Folpet,10.841,false,259.8,Wide,232.0,Wide,10,5,0.1,0.1,0.1,290,31%,Q2,Target,灭菌丹,A,ホルペット,,,,,,,
3-712,3,712,Folpet,C9H4Cl3NO2S,295.0,294.9028,133073,Fungicide,Thiophthalimide,21.669,2090,21.598,2077,10.841,2119,10.475,,133-07-3,Folpet,10.841,false,177.9,Wide,150.1,Wide,10,5,0.1,0.1,0.1,200,21%,Q3,Target,灭菌丹,A,ホルペット,,,,,,,
4-712,4,712,Folpet,C9H4Cl3NO2S,295.0,294.9028,133073,Fungicide,Thiophthalimide,21.669,2090,21.598,2077,10.841,2119,10.475,,133-07-3,Folpet,10.841,false,261.8,Wide,102.0,Wide,10,40,0.1,0.1,0.1,140,15%,Q4,Target,灭菌丹,A,ホルペット,,,,,,,
5-712,5,712,Folpet,C9H4Cl3NO2S,295.0,294.9028,133073,Fungicide,Thiophthalimide,21.669,2090,21.598,2077,10.841,2119,10.475,,133-07-3,Folpet,10.841,false,177.9,Wide,122.0,Wide,10,15,0.1,0.1,0.1,130,14%,Q5,Target,灭菌丹,A,ホルペット,,,,,,,
6-712,6,712,Folpet,C9H4Cl3NO2S,295.0,294.9028,133073,Fungicide,Thiophthalimide,21.669,2090,21.598,2077,10.841,2119,10.475,,133-07-3,Folpet,10.841,false,294.8,Wide,116.6,Wide,10,10,0.1,0.1,0.1,60,6%,Q6,Target,灭菌丹,A,ホルペット,,,,,,,
0-713,0,713,Fonofos,C10H15OPS2,246.0,246.0302,944229,Insecticide,Organophosphorus,15.958,1790,13.872,1786,8.254,1813,7.481,,944-22-9,Fonofos,8.254,false,137.0,Wide,109.0,Wide,10,5,0.1,0.1,0.1,12107,100%,Q0,Target,地虫硫膦,A,ホノホス,,,,,,,
1-713,1,713,Fonofos,C10H15OPS2,246.0,246.0302,944229,Insecticide,Organophosphorus,15.958,1790,13.872,1786,8.254,1813,7.481,,944-22-9,Fonofos,8.254,false,109.0,Wide,80.9,Wide,10,5,0.1,0.1,0.1,6091,50%,Q1,Target,地虫硫膦,A,ホノホス,,,,,,,
2-713,2,713,Fonofos,C10H15OPS2,246.0,246.0302,944229,Insecticide,Organophosphorus,15.958,1790,13.872,1786,8.254,1813,7.481,,944-22-9,Fonofos,8.254,false,246.1,Wide,137.0,Wide,10,5,0.1,0.1,0.1,5803,48%,Q2,Target,地虫硫膦,A,ホノホス,,,,,,,
3-713,3,713,Fonofos,C10H15OPS2,246.0,246.0302,944229,Insecticide,Organophosphorus,15.958,1790,13.872,1786,8.254,1813,7.481,,944-22-9,Fonofos,8.254,false,246.1,Wide,109.0,Wide,10,15,0.1,0.1,0.1,5574,46%,Q3,Target,地虫硫膦,A,ホノホス,,,,,,,
4-713,4,713,Fonofos,C10H15OPS2,246.0,246.0302,944229,Insecticide,Organophosphorus,15.958,1790,13.872,1786,8.254,1813,7.481,,944-22-9,Fonofos,8.254,false,109.0,Wide,62.9,Wide,10,15,0.1,0.1,0.1,4746,39%,Q4,Target,地虫硫膦,A,ホノホス,,,,,,,
5-713,5,713,Fonofos,C10H15OPS2,246.0,246.0302,944229,Insecticide,Organophosphorus,15.958,1790,13.872,1786,8.254,1813,7.481,,944-22-9,Fonofos,8.254,false,137.0,Wide,80.9,Wide,10,15,0.1,0.1,0.1,2579,21%,Q5,Target,地虫硫膦,A,ホノホス,,,,,,,
6-713,6,713,Fonofos,C10H15OPS2,246.0,246.0302,944229,Insecticide,Organophosphorus,15.958,1790,13.872,1786,8.254,1813,7.481,,944-22-9,Fonofos,8.254,false,80.8,Wide,62.9,Wide,10,15,0.1,0.1,0.1,2420,20%,Q6,Target,地虫硫膦,A,ホノホス,,,,,,,
7-713,7,713,Fonofos,C10H15OPS2,246.0,246.0302,944229,Insecticide,Organophosphorus,15.958,1790,13.872,1786,8.254,1813,7.481,,944-22-9,Fonofos,8.254,false,137.0,Wide,62.9,Wide,10,25,0.1,0.1,0.1,1793,15%,Q7,Target,地虫硫膦,A,ホノホス,,,,,,,
8-713,8,713,Fonofos,C10H15OPS2,246.0,246.0302,944229,Insecticide,Organophosphorus,15.958,1790,13.872,1786,8.254,1813,7.481,,944-22-9,Fonofos,8.254,false,246.1,Wide,80.9,Wide,10,35,0.1,0.1,0.1,905,7%,Q8,Target,地虫硫膦,A,ホノホス,,,,,,,
9-713,9,713,Fonofos,C10H15OPS2,246.0,246.0302,944229,Insecticide,Organophosphorus,15.958,1790,13.872,1786,8.254,1813,7.481,,944-22-9,Fonofos,8.254,false,80.8,Wide,66.4,Wide,10,5,0.1,0.1,0.1,854,7%,Q9,Target,地虫硫膦,A,ホノホス,,,,,,,
0-714,0,714,Formothion,C6H12NO4PS2,257.3,256.9945,2540821,Insecticide,Organophosphorus,17.291,1858,15.520,1852,8.768,1875,8.108,,2540-82-1,Formothion,8.768,false,170.0,Wide,93.0,Wide,10,5,0.1,0.1,0.1,1500,100%,Q0,Target,安硫磷,C,ホルモチオン,,,,,,,
1-714,1,714,Formothion,C6H12NO4PS2,257.3,256.9945,2540821,Insecticide,Organophosphorus,17.291,1858,15.520,1852,8.768,1875,8.108,,2540-82-1,Formothion,8.768,false,124.9,Wide,47.0,Wide,10,15,0.1,0.1,0.1,1440,96%,Q1,Target,安硫磷,C,ホルモチオン,,,,,,,
2-714,2,714,Formothion,C6H12NO4PS2,257.3,256.9945,2540821,Insecticide,Organophosphorus,17.291,1858,15.520,1852,8.768,1875,8.108,,2540-82-1,Formothion,8.768,false,124.9,Wide,79.0,Wide,10,5,0.1,0.1,0.1,1060,71%,Q2,Target,安硫磷,C,ホルモチオン,,,,,,,
3-714,3,714,Formothion,C6H12NO4PS2,257.3,256.9945,2540821,Insecticide,Organophosphorus,17.291,1858,15.520,1852,8.768,1875,8.108,,2540-82-1,Formothion,8.768,false,197.9,Wide,92.9,Wide,10,10,0.1,0.1,0.1,260,17%,Q3,Target,安硫磷,C,ホルモチオン,,,,,,,
4-714,4,714,Formothion,C6H12NO4PS2,257.3,256.9945,2540821,Insecticide,Organophosphorus,17.291,1858,15.520,1852,8.768,1875,8.108,,2540-82-1,Formothion,8.768,false,170.0,Wide,63.0,Wide,10,25,0.1,0.1,0.1,190,13%,Q4,Target,安硫磷,C,ホルモチオン,,,,,,,
5-714,5,714,Formothion,C6H12NO4PS2,257.3,256.9945,2540821,Insecticide,Organophosphorus,17.291,1858,15.520,1852,8.768,1875,8.108,,2540-82-1,Formothion,8.768,false,197.9,Wide,124.9,Wide,10,10,0.1,0.1,0.1,100,7%,Q5,Target,安硫磷,C,ホルモチオン,,,,,,,
0-715,0,715,Fosthiazate I,C9H18NO3PS2,283.4,283.0466,98886443,Nematicide,Organophosphorus,20.593,2031,20.076,2022,10.271,2052,9.869,,98886-44-3,Fosthiazate I,10.271,false,195.0,Wide,103.0,Wide,10,5,0.1,0.1,0.1,1,100%,Q0,#N/A,噻唑膦,,ホスチアゼート I,,,,,,,
1-715,1,715,Fosthiazate I,C9H18NO3PS2,283.4,283.0466,98886443,Nematicide,Organophosphorus,20.593,2031,20.076,2022,10.271,2052,9.869,,98886-44-3,Fosthiazate I,10.271,false,195.0,Wide,60.0,Wide,10,20,0.1,0.1,0.1,0,0%,Q1,#N/A,噻唑膦,,ホスチアゼート I,,,,,,,
2-715,2,715,Fosthiazate I,C9H18NO3PS2,283.4,283.0466,98886443,Nematicide,Organophosphorus,20.593,2031,20.076,2022,10.271,2052,9.869,,98886-44-3,Fosthiazate I,10.271,false,199.0,Wide,102.0,Wide,10,5,0.1,0.1,0.1,0,0%,Q2,#N/A,噻唑膦,,ホスチアゼート I,,,,,,,
3-715,3,715,Fosthiazate I,C9H18NO3PS2,283.4,283.0466,98886443,Nematicide,Organophosphorus,20.593,2031,20.076,2022,10.271,2052,9.869,,98886-44-3,Fosthiazate I,10.271,false,165.9,Wide,106.0,Wide,10,10,0.1,0.1,0.1,0,0%,Q3,#N/A,噻唑膦,,ホスチアゼート I,,,,,,,
4-715,4,715,Fosthiazate I,C9H18NO3PS2,283.4,283.0466,98886443,Nematicide,Organophosphorus,20.593,2031,20.076,2022,10.271,2052,9.869,,98886-44-3,Fosthiazate I,10.271,false,165.9,Wide,122.0,Wide,10,5,0.1,0.1,0.1,0,0%,Q4,#N/A,噻唑膦,,ホスチアゼート I,,,,,,,
0-716,0,716,Fosthiazate II {CAS # 98886-44-3},C9H18NO3PS2,283.4,283.0466,999018030,Nematicide,Organophosphorus,20.686,2036,20.217,2027,10.311,2057,9.917,,999018-03-0,Fosthiazate II {CAS # 98886-44-3},10.311,false,195.0,Wide,103.0,Wide,10,5,0.1,0.1,0.1,140,100%,Q0,#N/A,噻唑膦,,,,,,,,,
1-716,1,716,Fosthiazate II {CAS # 98886-44-3},C9H18NO3PS2,283.4,283.0466,999018030,Nematicide,Organophosphorus,20.686,2036,20.217,2027,10.311,2057,9.917,,999018-03-0,Fosthiazate II {CAS # 98886-44-3},10.311,false,195.0,Wide,60.0,Wide,10,20,0.1,0.1,0.1,90,64%,Q1,#N/A,噻唑膦,,,,,,,,,
2-716,2,716,Fosthiazate II {CAS # 98886-44-3},C9H18NO3PS2,283.4,283.0466,999018030,Nematicide,Organophosphorus,20.686,2036,20.217,2027,10.311,2057,9.917,,999018-03-0,Fosthiazate II {CAS # 98886-44-3},10.311,false,199.0,Wide,102.0,Wide,10,5,0.1,0.1,0.1,60,43%,Q2,#N/A,噻唑膦,,,,,,,,,
3-716,3,716,Fosthiazate II {CAS # 98886-44-3},C9H18NO3PS2,283.4,283.0466,999018030,Nematicide,Organophosphorus,20.686,2036,20.217,2027,10.311,2057,9.917,,999018-03-0,Fosthiazate II {CAS # 98886-44-3},10.311,false,165.9,Wide,106.0,Wide,10,10,0.1,0.1,0.1,30,21%,Q3,#N/A,噻唑膦,,,,,,,,,
4-716,4,716,Fosthiazate II {CAS # 98886-44-3},C9H18NO3PS2,283.4,283.0466,999018030,Nematicide,Organophosphorus,20.686,2036,20.217,2027,10.311,2057,9.917,,999018-03-0,Fosthiazate II {CAS # 98886-44-3},10.311,false,165.9,Wide,122.0,Wide,10,5,0.1,0.1,0.1,30,21%,Q4,#N/A,噻唑膦,,,,,,,,,
0-717,0,717,Fuberidazole,C11H8N2O,184.1,184.0637,3878191,Fungicide,Benzimidazole,18.081,1898,16.515,1891,9.164,1922,8.566,,3878-19-1,Fuberidazole,9.164,false,184.0,Wide,156.2,Wide,10,10,0.1,0.1,0.1,4200,100%,Q0,#N/A,麦穗宁,D,,,,,,,,
1-717,1,717,Fuberidazole,C11H8N2O,184.1,184.0637,3878191,Fungicide,Benzimidazole,18.081,1898,16.515,1891,9.164,1922,8.566,,3878-19-1,Fuberidazole,9.164,false,184.0,Wide,155.1,Wide,10,30,0.1,0.1,0.1,1720,41%,Q1,#N/A,麦穗宁,D,,,,,,,,
2-717,2,717,Fuberidazole,C11H8N2O,184.1,184.0637,3878191,Fungicide,Benzimidazole,18.081,1898,16.515,1891,9.164,1922,8.566,,3878-19-1,Fuberidazole,9.164,false,183.0,Wide,155.1,Wide,10,10,0.1,0.1,0.1,1210,29%,Q2,#N/A,麦穗宁,D,,,,,,,,
3-717,3,717,Fuberidazole,C11H8N2O,184.1,184.0637,3878191,Fungicide,Benzimidazole,18.081,1898,16.515,1891,9.164,1922,8.566,,3878-19-1,Fuberidazole,9.164,false,155.0,Wide,102.1,Wide,10,15,0.1,0.1,0.1,690,16%,Q3,#N/A,麦穗宁,D,,,,,,,,
4-717,4,717,Fuberidazole,C11H8N2O,184.1,184.0637,3878191,Fungicide,Benzimidazole,18.081,1898,16.515,1891,9.164,1922,8.566,,3878-19-1,Fuberidazole,9.164,false,155.0,Wide,129.1,Wide,10,10,0.1,0.1,0.1,680,16%,Q4,#N/A,麦穗宁,D,,,,,,,,
5-717,5,717,Fuberidazole,C11H8N2O,184.1,184.0637,3878191,Fungicide,Benzimidazole,18.081,1898,16.515,1891,9.164,1922,8.566,,3878-19-1,Fuberidazole,9.164,false,156.0,Wide,103.1,Wide,10,20,0.1,0.1,0.1,640,15%,Q5,#N/A,麦穗宁,D,,,,,,,,
0-718,0,718,Furalaxyl,C17H19NO4,301.3,301.1314,57646307,Fungicide,Xylylalanine,21.789,2096,21.934,2089,10.780,2112,10.486,,57646-30-7,Furalaxyl,10.780,false,242.0,Wide,95.0,Wide,10,15,0.1,0.1,0.1,1860,100%,Q0,#N/A,呋霜灵,E,,,,,,,,
1-718,1,718,Furalaxyl,C17H19NO4,301.3,301.1314,57646307,Fungicide,Xylylalanine,21.789,2096,21.934,2089,10.780,2112,10.486,,57646-30-7,Furalaxyl,10.780,false,94.9,Wide,67.0,Wide,10,15,0.1,0.1,0.1,590,32%,Q1,#N/A,呋霜灵,E,,,,,,,,
2-718,2,718,Furalaxyl,C17H19NO4,301.3,301.1314,57646307,Fungicide,Xylylalanine,21.789,2096,21.934,2089,10.780,2112,10.486,,57646-30-7,Furalaxyl,10.780,false,152.0,Wide,94.0,Wide,10,15,0.1,0.1,0.1,330,18%,Q2,#N/A,呋霜灵,E,,,,,,,,
3-718,3,718,Furalaxyl,C17H19NO4,301.3,301.1314,57646307,Fungicide,Xylylalanine,21.789,2096,21.934,2089,10.780,2112,10.486,,57646-30-7,Furalaxyl,10.780,false,145.9,Wide,105.1,Wide,10,10,0.1,0.1,0.1,280,15%,Q3,#N/A,呋霜灵,E,,,,,,,,
4-718,4,718,Furalaxyl,C17H19NO4,301.3,301.1314,57646307,Fungicide,Xylylalanine,21.789,2096,21.934,2089,10.780,2112,10.486,,57646-30-7,Furalaxyl,10.780,false,145.9,Wide,131.1,Wide,10,10,0.1,0.1,0.1,270,15%,Q4,#N/A,呋霜灵,E,,,,,,,,
5-718,5,718,Furalaxyl,C17H19NO4,301.3,301.1314,57646307,Fungicide,Xylylalanine,21.789,2096,21.934,2089,10.780,2112,10.486,,57646-30-7,Furalaxyl,10.780,false,152.0,Wide,95.0,Wide,10,15,0.1,0.1,0.1,260,14%,Q5,#N/A,呋霜灵,E,,,,,,,,
6-718,6,718,Furalaxyl,C17H19NO4,301.3,301.1314,57646307,Fungicide,Xylylalanine,21.789,2096,21.934,2089,10.780,2112,10.486,,57646-30-7,Furalaxyl,10.780,false,152.0,Wide,59.0,Wide,10,10,0.1,0.1,0.1,190,10%,Q6,#N/A,呋霜灵,E,,,,,,,,
7-718,7,718,Furalaxyl,C17H19NO4,301.3,301.1314,57646307,Fungicide,Xylylalanine,21.789,2096,21.934,2089,10.780,2112,10.486,,57646-30-7,Furalaxyl,10.780,false,242.0,Wide,146.1,Wide,10,10,0.1,0.1,0.1,140,8%,Q7,#N/A,呋霜灵,E,,,,,,,,
0-719,0,719,Furametpyr,C17H20ClN3O2,334.0,333.1244,123572883,Fungicide,Amide,29.187,2544,29.562,2540,14.398,2560,14.398,,123572-88-3,Furametpyr,14.398,false,156.9,Wide,76.0,Wide,10,20,0.1,0.1,0.1,1130,100%,Q0,#N/A,福拉比,,フラメトピル,,,,,,,
1-719,1,719,Furametpyr,C17H20ClN3O2,334.0,333.1244,123572883,Fungicide,Amide,29.187,2544,29.562,2540,14.398,2560,14.398,,123572-88-3,Furametpyr,14.398,false,290.9,Wide,156.9,Wide,10,20,0.1,0.1,0.1,370,33%,Q1,#N/A,福拉比,,フラメトピル,,,,,,,
2-719,2,719,Furametpyr,C17H20ClN3O2,334.0,333.1244,123572883,Fungicide,Amide,29.187,2544,29.562,2540,14.398,2560,14.398,,123572-88-3,Furametpyr,14.398,false,156.9,Wide,65.0,Wide,10,15,0.1,0.1,0.1,340,30%,Q2,#N/A,福拉比,,フラメトピル,,,,,,,
3-719,3,719,Furametpyr,C17H20ClN3O2,334.0,333.1244,123572883,Fungicide,Amide,29.187,2544,29.562,2540,14.398,2560,14.398,,123572-88-3,Furametpyr,14.398,false,159.0,Wide,77.9,Wide,10,20,0.1,0.1,0.1,320,28%,Q3,#N/A,福拉比,,フラメトピル,,,,,,,
4-719,4,719,Furametpyr,C17H20ClN3O2,334.0,333.1244,123572883,Fungicide,Amide,29.187,2544,29.562,2540,14.398,2560,14.398,,123572-88-3,Furametpyr,14.398,false,297.9,Wide,175.9,Wide,10,25,0.1,0.1,0.1,170,15%,Q4,#N/A,福拉比,,フラメトピル,,,,,,,
